Regime,MAE,RMSE,R2,N,Delta_MAE_vs_ID
ID (held-out),0.02175,0.03942,-0.0238,484,0.0
B: 5x higher noise,0.04544,0.05078,-1.8099,1230,0.02368
C: worse T1/T2 (30%),0.25285,0.2532,-967.8732,1256,0.23109
C-reverse: better T1/T2 (2x),0.09917,0.10151,-5.6995,1251,0.07742
A: 2x link distance,0.06358,0.06918,-1.9749,717,0.04183
