round,action,predicted_effective_fidelity,F_before,F_after,channel_available,purified
0,HALT,0.6384156346321106,0.6526080068624829,,True,False
1,HALT,0.6493892073631287,0.6586863033355742,,True,False
2,PURIFY,0.6573131680488586,0.664518601241958,0.6956743982198429,True,True
3,HALT,0.6461564898490906,0.0,,False,False
4,PURIFY,0.663059413433075,0.6712347565107456,0.7032831569386822,True,True
5,HALT,0.6492480039596558,0.6617573953187404,,True,False
6,PURIFY,0.6513855457305908,0.6679005306966354,0.6995118621619046,True,True
7,PURIFY,0.6563372611999512,0.0,,False,False
8,PURIFY,0.6726494431495667,0.6803912914250517,0.7135768447078024,True,True
9,PURIFY,0.6696258783340454,0.0,,False,False
10,PURIFY,0.6811098456382751,0.6910940089950622,0.7254871703973899,True,True
11,PURIFY,0.6640260219573975,0.0,,False,False
12,PURIFY,0.6669406890869141,0.6848414328761865,0.7185453323403068,True,True
13,PURIFY,0.654746413230896,0.6775842427724739,0.7104311791007851,True,True
14,PURIFY,0.6566691994667053,0.6791239358846646,0.7121577140053444,True,True
15,PURIFY,0.6650276780128479,0.6834638103593922,0.7170096888673362,True,True
16,PURIFY,0.6733914017677307,0.6869815938001497,0.72092659669543,True,True
17,PURIFY,0.6676433086395264,0.6870245736702605,0.7209743636162795,True,True
18,PURIFY,0.6559432744979858,0.6791269478951332,0.7121610888919346,True,True
19,HALT,0.6405295133590698,0.0,,False,False
20,PURIFY,0.6575492024421692,0.0,,False,False
21,PURIFY,0.681584358215332,0.7026498561888009,0.738193317408621,True,True
22,PURIFY,0.6678764224052429,0.0,,False,False
23,PURIFY,0.6618234515190125,0.0,,False,False
24,PURIFY,0.6576878428459167,0.0,,False,False
25,PURIFY,0.6616271734237671,0.0,,False,False
26,HALT,0.6472996473312378,0.0,,False,False
27,HALT,0.646731972694397,0.6835628020303924,,True,False
28,PURIFY,0.6623123288154602,0.6798723263685086,0.7129959508785085,True,True
29,PURIFY,0.6640377044677734,0.681724073922592,0.7150672594175963,True,True
30,PURIFY,0.6540166139602661,0.0,,False,False
31,PURIFY,0.6611748337745667,0.6759252666515642,0.7085678956417184,True,True
32,HALT,0.6493614315986633,0.0,,False,False
33,PURIFY,0.6558728814125061,0.6645310273782254,0.6956885203647277,True,True
34,PURIFY,0.6522281765937805,0.6537904087789221,0.683422280274502,True,True
35,HALT,0.6433762311935425,0.655924729915121,,True,False
36,HALT,0.6492965817451477,0.6584045798744486,,True,False
37,PURIFY,0.6552583575248718,0.0,,False,False
38,HALT,0.6463779211044312,0.6581665766127215,,True,False
39,HALT,0.6291282773017883,0.6336288274528562,,True,False
