Regime,MAE,RMSE,R2,Delta_MAE,Delta_RMSE,Delta_R2
A_ID_default (ID->ID),0.2771623134613037,0.4181864559650421,-0.768760983928499,,,
B_drift_amplitude_2x (A->B),0.29879990220069885,0.42297279834747314,-0.9854584694921662,0.02163758873939514,0.00478634238243103,-0.2166974855636672
C_correlation_time_2x (A->C),0.2847857177257538,0.4191649854183197,-0.8435113984402893,0.007623404264450073,0.0009785294532775879,-0.07475041451179032
D_sampling_interval_4x (A->D),0.2931089997291565,0.4218786358833313,-0.8939526974639755,0.015946686267852783,0.0036921799182891846,-0.12519171353547653
