n_rounds,mean_final_fidelity,useful_pairs,success_probability_pct,purification_count,false_purification_count,missed_opportunity_count,qpu_operations,total_latency_s,total_energy_J,failure_rate_pct,N_Hops,Controller
150,0.43292606571383535,92,61.33333333333333,93,13,0,930,0.009249980231010979,0.008916499604620215,38.666666666666664,1,Blind
150,0.37538538452283593,80,53.333333333333336,80,0,0,800,0.009249980231010979,0.008786499604620216,46.666666666666664,1,Reactive
150,0.43292606571383535,92,61.33333333333333,93,13,0,930,0.009249980231010979,0.008916499604620215,38.666666666666664,1,Risk-aware (reactive)
150,0.18169763247418808,0,0.0,182,23,0,1820,0.018496915731176504,0.017791438314623532,100.0,2,Blind
150,0.1434332109249886,0,0.0,159,0,0,1590,0.018496915731176504,0.017561438314623527,100.0,2,Reactive
150,0.1813874589175796,0,0.0,182,22,0,1820,0.018497111272569897,0.0177914422254514,100.0,2,Risk-aware (reactive)
150,0.09702776649798918,0,0.0,279,36,0,2790,0.02777407296089657,0.026746981459217934,100.0,3,Blind
150,0.060701668572539634,0,0.0,243,0,0,2430,0.02777407296089657,0.026386981459217935,100.0,3,Reactive
150,0.094318158187654,0,0.0,279,35,0,2790,0.027774268502289968,0.0267469853700458,100.0,3,Risk-aware (reactive)
150,0.06115503182796161,0,0.0,385,57,0,3850,0.03705963884231961,0.035792692776846415,100.0,4,Blind
150,0.03490960831641658,0,0.0,328,0,0,3280,0.03705963884231961,0.0352226927768464,100.0,4,Reactive
150,0.05886742838907253,0,0.0,385,56,0,3850,0.037059834383713,0.03579269668767428,100.0,4,Risk-aware (reactive)
150,0.03217755958448647,0,0.0,472,90,0,4720,0.046421818674728374,0.04464993637349455,100.0,5,Blind
150,0.010331278568388896,0,0.0,382,0,0,3820,0.046421818674728374,0.04374993637349457,100.0,5,Reactive
150,0.028106503398338572,0,0.0,472,89,0,4720,0.04642201421612177,0.044649940284322426,100.0,5,Risk-aware (reactive)
