action,true_fidelity,useful
PURIFY,0.3558093011379242,False
PURIFY,0.5828894972801208,False
PURIFY,0.5624579191207886,False
PURIFY,0.0,False
PURIFY,0.5721601247787476,False
PURIFY,0.5976759791374207,False
PURIFY,0.5882850885391235,False
PURIFY,0.5911493897438049,False
PURIFY,0.0,False
PURIFY,0.5712811350822449,False
PURIFY,0.5948747992515564,False
PURIFY,0.6176527142524719,False
PURIFY,0.6203025579452515,False
PURIFY,0.0,False
PURIFY,0.6217114329338074,False
PURIFY,0.0,False
PURIFY,0.6233862638473511,False
PURIFY,0.6501137018203735,True
PURIFY,0.6567878127098083,True
PURIFY,0.0,False
PURIFY,0.0,False
PURIFY,0.0,False
PURIFY,0.0,False
PURIFY,0.0,False
PURIFY,0.6114392876625061,False
PURIFY,0.6304206252098083,True
PURIFY,0.0,False
PURIFY,0.6470208168029785,True
PURIFY,0.6513423919677734,True
PURIFY,0.36376774311065674,False
PURIFY,0.6633089184761047,True
PURIFY,0.6620761752128601,True
PURIFY,0.6715479493141174,True
PURIFY,0.0,False
PURIFY,0.656213641166687,True
PURIFY,0.6511942148208618,True
PURIFY,0.6554210782051086,True
PURIFY,0.6547654867172241,True
PURIFY,0.0,False
PURIFY,0.6036401391029358,False
PURIFY,0.6407961845397949,True
PURIFY,0.629604697227478,True
PURIFY,0.6456848978996277,True
PURIFY,0.6596041917800903,True
PURIFY,0.0,False
PURIFY,0.6598535180091858,True
PURIFY,0.6654423475265503,True
PURIFY,0.0,False
PURIFY,0.6672531366348267,True
PURIFY,0.6570690870285034,True
PURIFY,0.0,False
PURIFY,0.6369720697402954,True
PURIFY,0.0,False
PURIFY,0.0,False
PURIFY,0.0,False
PURIFY,0.0,False
PURIFY,0.6509257555007935,True
PURIFY,0.6433968544006348,True
PURIFY,0.6554346680641174,True
PURIFY,0.0,False
PURIFY,0.0,False
PURIFY,0.6699391603469849,True
PURIFY,0.0,False
PURIFY,0.6478824019432068,True
PURIFY,0.0,False
PURIFY,0.646757960319519,True
PURIFY,0.6386587023735046,True
PURIFY,0.6540318727493286,True
PURIFY,0.0,False
PURIFY,0.6573364734649658,True
PURIFY,0.647208034992218,True
PURIFY,0.0,False
PURIFY,0.0,False
PURIFY,0.6370119452476501,True
PURIFY,0.6419365406036377,True
PURIFY,0.6442983150482178,True
PURIFY,0.6274082064628601,True
PURIFY,0.0,False
PURIFY,0.6259238123893738,True
PURIFY,0.0,False
PURIFY,0.0,False
PURIFY,0.633380651473999,True
PURIFY,0.6313808560371399,True
PURIFY,0.6292303800582886,True
PURIFY,0.0,False
PURIFY,0.0,False
PURIFY,0.634188711643219,True
PURIFY,0.0,False
PURIFY,0.0,False
PURIFY,0.6284082531929016,True
PURIFY,0.6263833045959473,True
PURIFY,0.6287270784378052,True
PURIFY,0.625110387802124,True
PURIFY,0.6051984429359436,False
PURIFY,0.6037735342979431,False
PURIFY,0.0,False
PURIFY,0.0,False
PURIFY,0.583244264125824,False
PURIFY,0.5918177366256714,False
PURIFY,0.6049187779426575,False
PURIFY,0.0,False
PURIFY,0.6331815719604492,True
PURIFY,0.6403028964996338,True
PURIFY,0.0,False
PURIFY,0.6341160535812378,True
PURIFY,0.0,False
PURIFY,0.627511739730835,True
PURIFY,0.6123527884483337,False
PURIFY,0.6192201375961304,False
PURIFY,0.6142405271530151,False
PURIFY,0.0,False
PURIFY,0.0,False
PURIFY,0.5951092839241028,False
PURIFY,0.6253812313079834,True
PURIFY,0.0,False
PURIFY,0.0,False
PURIFY,0.6141554117202759,False
PURIFY,0.0,False
PURIFY,0.6013572216033936,False
PURIFY,0.0,False
PURIFY,0.6111545562744141,False
PURIFY,0.6321483850479126,True
PURIFY,0.6359859704971313,True
PURIFY,0.6388729810714722,True
PURIFY,0.6400970220565796,True
PURIFY,0.6491163372993469,True
PURIFY,0.6547130942344666,True
PURIFY,0.6693531274795532,True
PURIFY,0.6703312397003174,True
PURIFY,0.6795684099197388,True
PURIFY,0.6822324395179749,True
PURIFY,0.0,False
PURIFY,0.0,False
PURIFY,0.6856049299240112,True
PURIFY,0.6790682673454285,True
PURIFY,0.6956172585487366,True
PURIFY,0.0,False
PURIFY,0.0,False
PURIFY,0.682187557220459,True
PURIFY,0.0,False
PURIFY,0.698535144329071,True
PURIFY,0.6858487725257874,True
PURIFY,0.6836534738540649,True
PURIFY,0.6824027895927429,True
PURIFY,0.6831615567207336,True
PURIFY,0.68674236536026,True
PURIFY,0.6899679899215698,True
PURIFY,0.689570426940918,True
PURIFY,0.6804800629615784,True
PURIFY,0.686524510383606,True
PURIFY,0.6886817812919617,True
PURIFY,0.6909798979759216,True
PURIFY,0.693755567073822,True
PURIFY,0.6907752156257629,True
PURIFY,0.6917421817779541,True
PURIFY,0.6853972673416138,True
PURIFY,0.0,False
PURIFY,0.0,False
PURIFY,0.6693353652954102,True
PURIFY,0.6624518036842346,True
PURIFY,0.6715683341026306,True
PURIFY,0.6786088943481445,True
PURIFY,0.0,False
PURIFY,0.0,False
PURIFY,0.6655153036117554,True
PURIFY,0.0,False
PURIFY,0.0,False
PURIFY,0.0,False
PURIFY,0.0,False
PURIFY,0.6650768518447876,True
PURIFY,0.6612393856048584,True
PURIFY,0.0,False
PURIFY,0.0,False
PURIFY,0.0,False
PURIFY,0.0,False
PURIFY,0.6344267129898071,True
PURIFY,0.6282923221588135,True
PURIFY,0.0,False
PURIFY,0.63225257396698,True
PURIFY,0.628807008266449,True
PURIFY,0.0,False
PURIFY,0.61667799949646,False
PURIFY,0.0,False
PURIFY,0.6368816494941711,True
PURIFY,0.0,False
PURIFY,0.65920490026474,True
PURIFY,0.0,False
PURIFY,0.6631363034248352,True
PURIFY,0.6625003218650818,True
PURIFY,0.0,False
PURIFY,0.6563206911087036,True
