Dataset,MAE,MSE,RMSE,R2,Accuracy,F1,FP,FN,Avg Inference Latency (ms),QPU Attempts,QPU Halted,Useful Pairs,QPU Yield (%)
v1: Ornstein-Uhlenbeck (statistical),0.17281,0.038377,0.1959,-0.2047,96.36,0.927,3,26,0.1816,187,609,184,98.4
v3: Causal physical (Qiskit Aer),0.28656,0.178947,0.42302,-0.8393,26.76,0.4222,583,0,0.1763,796,0,213,26.76
