Halt_Rate_pct,Break_Even_E_QPU_per_gate_J
2.0,0.00025000000000000185
10.0,5.3191489361702934e-05
25.0,2.2321428571428324e-05
50.0,1.1210762331838608e-05
68.0,7.78816199376909e-06
85.0,6.0096153846157505e-06
