Controller,N_Seeds,Yield_Mean,Yield_Std
Blind,3,40.03333333333333,9.308718135883868
Reactive,3,39.42333333333334,7.77021449725381
Predictive,3,40.68666666666667,9.857952796262177
Oracle,3,100.0,0.0
