F_before,F_after,delta_F,success_probability,purification_gain,resource_cost_pairs,useful
0.676745206012103,0.7094891990227149,0.03274399301061193,0.6618768629816106,0.03274399301061193,2,True
0.6801341103904368,0.7132890123140659,0.03315490192362913,0.6644580914856643,0.03315490192362913,2,True
0.6854064484375314,0.7191745204296977,0.03376807199216625,0.6685144669697639,0.03376807199216625,2,True
0.6675668406501638,0.6991337686244028,0.03156692797423899,0.6549885034760524,0.03156692797423899,2,True
0.6655645355135968,0.6968625170780108,0.03129798156441399,0.6535056739347833,0.03129798156441399,2,True
0.6725408767288723,0.7047571873131834,0.03221631058431107,0.6587029266727144,0.03221631058431107,2,True
0.6702528565403383,0.7021737981245186,0.03192094158418035,0.6569888563825013,0.03192094158418035,2,True
0.6866006023984232,0.7205030761204992,0.033902473722076,0.6694400764574807,0.033902473722076,2,True
0.6712519950179658,0.7033026237442852,0.03205062872631936,0.6577362162725475,0.03205062872631936,2,True
0.6665319391778926,0.6979603954349847,0.03142845625709212,0.6542212056491514,0.03142845625709212,2,True
0.6672102657066091,0.6987296128230125,0.03151934711640336,0.6547239162764259,0.03151934711640336,2,True
0.6745824744495568,0.7070574792404866,0.032475004790929796,0.6602402467641851,0.032475004790929796,2,True
0.6816106258526605,0.714940472759063,0.033329846906402505,0.6655890954212668,0.033329846906402505,2,True
0.6767159159497267,0.7094563009977549,0.03274038504802823,0.6618546425998346,0.03274038504802823,2,True
0.6536913948306837,0.6833086579315462,0.029617263100862434,0.6448593264536381,0.029617263100862434,2,True
0.6560633893250049,0.6860279255497419,0.02996453622473705,0.6465666454667646,0.02996453622473705,2,True
0.6515047545126775,0.6807969351115507,0.029292180598873174,0.6432942825744757,0.029292180598873174,2,True
0.6542539767769757,0.6839541129791963,0.02970013620222056,0.6452633579911106,0.02970013620222056,2,True
0.6548925904499878,0.6846864179804915,0.029793827530503636,0.6457226753789346,0.029793827530503636,2,True
