round,F_left,left_available,F_right,right_available,F_swapped,swap_success
0,0.0,0.0,0.7099457893657827,1.0,0.0,False
1,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
2,0.0,0.0,0.7099457893657827,1.0,0.0,False
3,0.0,0.0,0.0,0.0,0.0,False
4,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
5,0.0,0.0,0.7099457893657827,1.0,0.0,False
6,0.0,0.0,0.0,0.0,0.0,False
7,0.0,0.0,0.7099457893657827,1.0,0.0,False
8,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
9,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
10,0.7099457893657827,1.0,0.0,0.0,0.0,False
11,0.0,0.0,0.0,0.0,0.0,False
12,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
13,0.0,0.0,0.7099457893657827,1.0,0.0,False
14,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
15,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
16,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
17,0.7099457893657827,1.0,0.0,0.0,0.0,False
18,0.0,0.0,0.0,0.0,0.0,False
19,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
20,0.0,0.0,0.7099457893657827,1.0,0.0,False
21,0.7099457893657827,1.0,0.0,0.0,0.0,False
22,0.0,0.0,0.7099457893657827,1.0,0.0,False
23,0.0,0.0,0.0,0.0,0.0,False
24,0.0,0.0,0.0,0.0,0.0,False
25,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
26,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
27,0.7099457893657827,1.0,0.0,0.0,0.0,False
28,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
29,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
30,0.0,0.0,0.7099457893657827,1.0,0.0,False
31,0.0,0.0,0.7099457893657827,1.0,0.0,False
32,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
33,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
34,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
35,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
