Policy,E_QPU_J,E_inference_J,E_memory_J,E_communication_J,E_optical_J,E_total_J,E_QPU_avoided_J,delta_E_QPU_avoided_over_E_inference
Blind,0.007959999999999844,0.0,0.000496842616306971,0.0015920000000000257,0.000993685232613942,0.011042527848921044,0.0,inf
Predictive,0.007789999999999851,0.03980000000000063,0.000496842616306971,0.0015920000000000257,0.000993685232613942,0.05067252784892189,0.00016999999999999999,0.0042713567839195304
