experiment_id,timestamp,git_commit,seed,config_hash,dataset_version,dataset_hash,model,controller,horizon,feature_set,physics_engine,realism_level,MAE,RMSE,R2,coverage,interval_width,fidelity,useful_pairs,QPU_operations,purification_count,false_purification,missed_opportunities,latency,memory,energy,source_experiment,notes
20260821T114609Z_289ffe64,2026-08-21T11:46:09.456413+00:00,NOT_A_GIT_REPOSITORY,2024.0,,v3-causal,,DualHead,DualHead,,,ReferenceEngine (Aer),L1-stochastic,,,,,,,50.0,,,,,,,,controller_comparison_10seed,"useful_pairs field here is a YIELD PERCENTAGE (0-100), not a raw count."
20260821T114609Z_63885405,2026-08-21T11:46:09.458874+00:00,NOT_A_GIT_REPOSITORY,31415.0,,v3-causal,,Blind,Blind,,,ReferenceEngine (Aer),L1-stochastic,,,,,,,45.35,,,,,,,,controller_comparison_10seed,"useful_pairs field here is a YIELD PERCENTAGE (0-100), not a raw count."
20260821T114609Z_97e9a77c,2026-08-21T11:46:09.461299+00:00,NOT_A_GIT_REPOSITORY,31415.0,,v3-causal,,Reactive,Reactive,,,ReferenceEngine (Aer),L1-stochastic,,,,,,,46.6,,,,,,,,controller_comparison_10seed,"useful_pairs field here is a YIELD PERCENTAGE (0-100), not a raw count."
20260821T114609Z_c1048e5e,2026-08-21T11:46:09.463803+00:00,NOT_A_GIT_REPOSITORY,31415.0,,v3-causal,,Predictive,Predictive,,,ReferenceEngine (Aer),L1-stochastic,,,,,,,45.35,,,,,,,,controller_comparison_10seed,"useful_pairs field here is a YIELD PERCENTAGE (0-100), not a raw count."
20260821T114609Z_4fda90f9,2026-08-21T11:46:09.466233+00:00,NOT_A_GIT_REPOSITORY,31415.0,,v3-causal,,Oracle,Oracle,,,ReferenceEngine (Aer),L1-stochastic,,,,,,,100.0,,,,,,,,controller_comparison_10seed,"useful_pairs field here is a YIELD PERCENTAGE (0-100), not a raw count."
20260821T114609Z_f4343a21,2026-08-21T11:46:09.468664+00:00,NOT_A_GIT_REPOSITORY,31415.0,,v3-causal,,DualHead,DualHead,,,ReferenceEngine (Aer),L1-stochastic,,,,,,,49.44,,,,,,,,controller_comparison_10seed,"useful_pairs field here is a YIELD PERCENTAGE (0-100), not a raw count."
20260821T114609Z_6a877bb3,2026-08-21T11:46:09.471101+00:00,NOT_A_GIT_REPOSITORY,99.0,,v3-causal,,Blind,Blind,,,ReferenceEngine (Aer),L1-stochastic,,,,,,,41.71,,,,,,,,controller_comparison_10seed,"useful_pairs field here is a YIELD PERCENTAGE (0-100), not a raw count."
20260821T114609Z_a9e0bf9f,2026-08-21T11:46:09.473428+00:00,NOT_A_GIT_REPOSITORY,99.0,,v3-causal,,Reactive,Reactive,,,ReferenceEngine (Aer),L1-stochastic,,,,,,,42.24,,,,,,,,controller_comparison_10seed,"useful_pairs field here is a YIELD PERCENTAGE (0-100), not a raw count."
20260821T114609Z_6c501783,2026-08-21T11:46:09.475857+00:00,NOT_A_GIT_REPOSITORY,99.0,,v3-causal,,Predictive,Predictive,,,ReferenceEngine (Aer),L1-stochastic,,,,,,,42.3,,,,,,,,controller_comparison_10seed,"useful_pairs field here is a YIELD PERCENTAGE (0-100), not a raw count."
20260821T114609Z_e814e8f6,2026-08-21T11:46:09.478189+00:00,NOT_A_GIT_REPOSITORY,99.0,,v3-causal,,Oracle,Oracle,,,ReferenceEngine (Aer),L1-stochastic,,,,,,,100.0,,,,,,,,controller_comparison_10seed,"useful_pairs field here is a YIELD PERCENTAGE (0-100), not a raw count."
20260821T114609Z_ff64ce21,2026-08-21T11:46:09.480530+00:00,NOT_A_GIT_REPOSITORY,99.0,,v3-causal,,DualHead,DualHead,,,ReferenceEngine (Aer),L1-stochastic,,,,,,,47.06,,,,,,,,controller_comparison_10seed,"useful_pairs field here is a YIELD PERCENTAGE (0-100), not a raw count."
20260821T114609Z_0b9fc150,2026-08-21T11:46:09.482938+00:00,NOT_A_GIT_REPOSITORY,555.0,,v3-causal,,Blind,Blind,,,ReferenceEngine (Aer),L1-stochastic,,,,,,,37.06,,,,,,,,controller_comparison_10seed,"useful_pairs field here is a YIELD PERCENTAGE (0-100), not a raw count."
