experiment_id,timestamp,git_commit,seed,config_hash,dataset_version,dataset_hash,model,controller,horizon,feature_set,physics_engine,realism_level,MAE,RMSE,R2,coverage,interval_width,fidelity,useful_pairs,QPU_operations,purification_count,false_purification,missed_opportunities,latency,memory,energy,source_experiment,notes
20260821T114609Z_d574a11d,2026-08-21T11:46:09.598532+00:00,NOT_A_GIT_REPOSITORY,,,v3-causal,,DualHead,DualHead,,full (WDM+T1+T2+depol),ReferenceEngine (Aer),L1-stochastic,0.02595,0.03435,-0.2841,,,,,,,,,,,,domain_shift,Domain shift regime: B: 5x higher noise
20260821T114609Z_844a2b3d,2026-08-21T11:46:09.601082+00:00,NOT_A_GIT_REPOSITORY,,,v3-causal,,DualHead,DualHead,,full (WDM+T1+T2+depol),ReferenceEngine (Aer),L1-stochastic,0.19674,0.19692,-530.5905,,,,,,,,,,,,domain_shift,Domain shift regime: C: worse T1/T2 (30%)
20260821T114609Z_cc0a0ee6,2026-08-21T11:46:09.603558+00:00,NOT_A_GIT_REPOSITORY,,,v3-causal,,DualHead,DualHead,,full (WDM+T1+T2+depol),ReferenceEngine (Aer),L1-stochastic,0.08184,0.08482,-3.6914,,,,,,,,,,,,domain_shift,Domain shift regime: C-reverse: better T1/T2 (2x)
20260821T114609Z_265bea78,2026-08-21T11:46:09.606188+00:00,NOT_A_GIT_REPOSITORY,,,v3-causal,,DualHead,DualHead,,full (WDM+T1+T2+depol),ReferenceEngine (Aer),L1-stochastic,0.15466,0.15641,-14.0098,,,,,,,,,,,,domain_shift,Domain shift regime: A: 2x link distance
20260821T114609Z_61082fac,2026-08-21T11:46:09.609621+00:00,NOT_A_GIT_REPOSITORY,,,v3-causal,,DualHead,DualHead,,WDM-only,ReferenceEngine (Aer),L1-stochastic,0.02175,0.03942,-0.0238,,,,,,,,,,,,domain_shift,Domain shift regime: ID (held-out)
20260821T114609Z_d587a2db,2026-08-21T11:46:09.611034+00:00,NOT_A_GIT_REPOSITORY,,,v3-causal,,DualHead,DualHead,,WDM-only,ReferenceEngine (Aer),L1-stochastic,0.04544,0.05078,-1.8099,,,,,,,,,,,,domain_shift,Domain shift regime: B: 5x higher noise
20260821T114609Z_999fea46,2026-08-21T11:46:09.613431+00:00,NOT_A_GIT_REPOSITORY,,,v3-causal,,DualHead,DualHead,,WDM-only,ReferenceEngine (Aer),L1-stochastic,0.25285,0.2532,-967.8732,,,,,,,,,,,,domain_shift,Domain shift regime: C: worse T1/T2 (30%)
20260821T114609Z_beafe8be,2026-08-21T11:46:09.615816+00:00,NOT_A_GIT_REPOSITORY,,,v3-causal,,DualHead,DualHead,,WDM-only,ReferenceEngine (Aer),L1-stochastic,0.09917,0.10151,-5.6995,,,,,,,,,,,,domain_shift,Domain shift regime: C-reverse: better T1/T2 (2x)
20260821T114609Z_b4f01fba,2026-08-21T11:46:09.617142+00:00,NOT_A_GIT_REPOSITORY,,,v3-causal,,DualHead,DualHead,,WDM-only,ReferenceEngine (Aer),L1-stochastic,0.06358,0.06918,-1.9749,,,,,,,,,,,,domain_shift,Domain shift regime: A: 2x link distance
20260821T114609Z_e70b6a17,2026-08-21T11:46:09.620443+00:00,NOT_A_GIT_REPOSITORY,,,v3-causal,,DualHead,DualHead,,All WDM,ReferenceEngine (Aer),L1-stochastic,0.01752,0.03672,0.0996,,,,39.41,,,,,,,,wdm_feature_ablation,
20260821T114609Z_fe81f016,2026-08-21T11:46:09.622974+00:00,NOT_A_GIT_REPOSITORY,,,v3-causal,,DualHead,DualHead,,No phase drift,ReferenceEngine (Aer),L1-stochastic,0.01636,0.03518,0.1737,,,,43.93,,,,,,,,wdm_feature_ablation,
20260821T114609Z_7511d253,2026-08-21T11:46:09.624284+00:00,NOT_A_GIT_REPOSITORY,,,v3-causal,,DualHead,DualHead,,No loss,ReferenceEngine (Aer),L1-stochastic,0.02136,0.03898,-0.0143,,,,36.79,,,,,,,,wdm_feature_ablation,
20260821T114609Z_f8c2aa11,2026-08-21T11:46:09.626640+00:00,NOT_A_GIT_REPOSITORY,,,v3-causal,,DualHead,DualHead,,No BER,ReferenceEngine (Aer),L1-stochastic,0.01518,0.03338,0.2562,,,,44.21,,,,,,,,wdm_feature_ablation,
20260821T114609Z_592ada93,2026-08-21T11:46:09.627972+00:00,NOT_A_GIT_REPOSITORY,,,v3-causal,,DualHead,DualHead,,No OSNR,ReferenceEngine (Aer),L1-stochastic,0.0171,0.03634,0.1183,,,,41.54,,,,,,,,wdm_feature_ablation,
20260821T114609Z_93490903,2026-08-21T11:46:09.630330+00:00,NOT_A_GIT_REPOSITORY,,,v3-causal,,DualHead,DualHead,,No photon rate,ReferenceEngine (Aer),L1-stochastic,0.01914,0.03729,0.0717,,,,38.72,,,,,,,,wdm_feature_ablation,
20260821T114609Z_3a5a91f2,2026-08-21T11:46:09.632817+00:00,NOT_A_GIT_REPOSITORY,,,v3-causal,,DualHead,DualHead,,No efficiency,ReferenceEngine (Aer),L1-stochastic,0.01767,0.03699,0.0863,,,,40.96,,,,,,,,wdm_feature_ablation,
20260821T114609Z_e0ad6a16,2026-08-21T11:46:09.636195+00:00,NOT_A_GIT_REPOSITORY,,,v3-causal,,EdgeLSTM,,,,,,0.27662,,,,,,,,,,,9.601e-05,,1.05542724e-05,pareto_frontier_edge_benchmark,"Parameters=2193, Model_Size_Bytes=8772, Pareto_Optimal=True"
20260821T114609Z_d3e9153c,2026-08-21T11:46:09.638633+00:00,NOT_A_GIT_REPOSITORY,,,v3-causal,,EdgeGRU,,,,,,0.28235,,,,,,,,,,,0.00033437,,3.4056889599999995e-05,pareto_frontier_edge_benchmark,"Parameters=1649, Model_Size_Bytes=6596, Pareto_Optimal=True"
20260821T114609Z_909b556c,2026-08-21T11:46:09.639995+00:00,NOT_A_GIT_REPOSITORY,,,v3-causal,,EdgeTCN,,,,,,0.59955,,,,,,,,,,,0.00012309,,1.36341652e-05,pareto_frontier_edge_benchmark,"Parameters=2369, Model_Size_Bytes=9476, Pareto_Optimal=False"
20260821T114609Z_64449e90,2026-08-21T11:46:09.642390+00:00,NOT_A_GIT_REPOSITORY,,,v3-causal,,FlattenMLP,,,,,,0.55598,,,,,,,,,,,3.056e-05,,3.296855600000001e-06,pareto_frontier_edge_benchmark,"Parameters=11361, Model_Size_Bytes=45444, Pareto_Optimal=True"
20260821T114609Z_0b2f277b,2026-08-21T11:46:09.644838+00:00,NOT_A_GIT_REPOSITORY,,,v3-causal,,EdgeLSTMDualHead,,,,,,0.01809,,,,,,,,,,,0.00012576999999999998,,1.37973004e-05,pareto_frontier_edge_benchmark,"Parameters=2210, Model_Size_Bytes=8840, Pareto_Optimal=True"
20260821T114609Z_91a3e369,2026-08-21T11:46:09.648211+00:00,NOT_A_GIT_REPOSITORY,,,v3-causal,,causal_intervention,,,phase_drift,ReferenceEngine (Aer),L1-stochastic,,,,,,0.0,,,,,,,,,sensitivity_analysis,"Dimension=conditional_fidelity, Sensitivity_S_X=0.0"
20260821T114609Z_dfba196a,2026-08-21T11:46:09.650630+00:00,NOT_A_GIT_REPOSITORY,,,v3-causal,,causal_intervention,,,loss_db,ReferenceEngine (Aer),L1-stochastic,,,,,,0.0,,,,,,,,,sensitivity_analysis,"Dimension=conditional_fidelity, Sensitivity_S_X=0.0"
20260821T114609Z_652db005,2026-08-21T11:46:09.651991+00:00,NOT_A_GIT_REPOSITORY,,,v3-causal,,causal_intervention,,,osnr_db,ReferenceEngine (Aer),L1-stochastic,,,,,,0.0,,,,,,,,,sensitivity_analysis,"Dimension=conditional_fidelity, Sensitivity_S_X=-0.0"
20260821T114609Z_a1c0e1ae,2026-08-21T11:46:09.654387+00:00,NOT_A_GIT_REPOSITORY,,,v3-causal,,causal_intervention,,,optical_power_dbm,ReferenceEngine (Aer),L1-stochastic,,,,,,0.0,,,,,,,,,sensitivity_analysis,"Dimension=conditional_fidelity, Sensitivity_S_X=-0.0"
20260821T114609Z_9465b251,2026-08-21T11:46:09.656837+00:00,NOT_A_GIT_REPOSITORY,,,v3-causal,,causal_intervention,,,BER,ReferenceEngine (Aer),L1-stochastic,,,,,,-0.006189,,,,,,,,,sensitivity_analysis,"Dimension=conditional_fidelity, Sensitivity_S_X=-12.3777"
20260821T114609Z_f21d487c,2026-08-21T11:46:09.659413+00:00,NOT_A_GIT_REPOSITORY,,,v3-causal,,causal_intervention,,,loss_db,ReferenceEngine (Aer),L1-stochastic,,,,,,-0.12977,,,,,,,,,sensitivity_analysis,"Dimension=availability, Sensitivity_S_X=-0.12977"
20260821T114609Z_98beaa58,2026-08-21T11:46:09.661928+00:00,NOT_A_GIT_REPOSITORY,,,v3-causal,,causal_intervention,,,photon_rate,ReferenceEngine (Aer),L1-stochastic,,,,,,0.0,,,,,,,,,sensitivity_analysis,"Dimension=conditional_fidelity, Sensitivity_S_X=0.0"
20260821T114609Z_e29ef212,2026-08-21T11:46:09.664398+00:00,NOT_A_GIT_REPOSITORY,,,v3-causal,,causal_intervention,,,Transmission_Efficiency,ReferenceEngine (Aer),L1-stochastic,,,,,,0.0,,,,,,,,,sensitivity_analysis,"Dimension=conditional_fidelity, Sensitivity_S_X=0.0"
20260821T114609Z_ecfdc244,2026-08-21T11:46:09.667755+00:00,NOT_A_GIT_REPOSITORY,,,v3-causal,,Deep Ensemble,,,,ReferenceEngine (Aer),L1-stochastic,0.26355,0.40594,,85.8,0.96331,,,,,,,,,,uncertainty_method_comparison,
20260821T114609Z_17368629,2026-08-21T11:46:09.670247+00:00,NOT_A_GIT_REPOSITORY,,,v3-causal,,MC Dropout,,,,ReferenceEngine (Aer),L1-stochastic,0.30263,0.31432,,0.38,0.0286,,,,,,,,,,uncertainty_method_comparison,
20260821T114609Z_94ee2952,2026-08-21T11:46:09.672692+00:00,NOT_A_GIT_REPOSITORY,,,v3-causal,,Quantile Regression,,,,ReferenceEngine (Aer),L1-stochastic,0.25368,0.3885,,59.67,0.67529,,,,,,,,,,uncertainty_method_comparison,
20260821T114609Z_9d798f78,2026-08-21T11:46:09.674034+00:00,NOT_A_GIT_REPOSITORY,,,v3-causal,,Conformal Prediction,,,,ReferenceEngine (Aer),L1-stochastic,0.26108,0.4023,,89.07,0.99971,,,,,,,,,,uncertainty_method_comparison,
20260821T114609Z_7bbfa64f,2026-08-21T11:46:09.677362+00:00,NOT_A_GIT_REPOSITORY,,,v3-causal,,EdgeLSTM,,,,,,,,,,,,,,,,,,0.0035,,edge_memory_benchmark,"Parameters=2193, Activation_Memory_Bytes=1280"
20260821T114609Z_82b501b0,2026-08-21T11:46:09.679881+00:00,NOT_A_GIT_REPOSITORY,,,v3-causal,,EdgeGRU,,,,,,,,,,,,,,,,,,0.0029,,edge_memory_benchmark,"Parameters=1649, Activation_Memory_Bytes=1280"
20260821T114609Z_3c87a0d7,2026-08-21T11:46:09.682329+00:00,NOT_A_GIT_REPOSITORY,,,v3-causal,,EdgeTCN,,,,,,,,,,,,,,,,,,0.0029,,edge_memory_benchmark,"Parameters=2369, Activation_Memory_Bytes=1280"
20260821T114609Z_44b512e0,2026-08-21T11:46:09.684887+00:00,NOT_A_GIT_REPOSITORY,,,v3-causal,,FlattenMLP,,,,,,,,,,,,,,,,,,0.0021,,edge_memory_benchmark,"Parameters=11361, Activation_Memory_Bytes=128"
20260821T114609Z_13c941fa,2026-08-21T11:46:09.687378+00:00,NOT_A_GIT_REPOSITORY,,,v3-causal,,EdgeLSTMDualHead,,,,,,,,,,,,,,,,,,0.0025,,edge_memory_benchmark,"Parameters=2210, Activation_Memory_Bytes=1280"
