experiment_id,seed,timestamp,git_commit,config_hash,dataset_hash,campaign_name,controller,model,notes
EdgeGRU_10seed_99,99,2026-08-21T07:51:20.076274+00:00,NOT_A_GIT_REPOSITORY,99bb69f2840485fe,10508862038386577026,architecture_10seed_accuracy,,EdgeGRU,MAE=0.33545
EdgeGRU_10seed_555,555,2026-08-21T07:51:34.838343+00:00,NOT_A_GIT_REPOSITORY,99bb69f2840485fe,4524361615014795743,architecture_10seed_accuracy,,EdgeGRU,MAE=0.28820
EdgeGRU_10seed_8080,8080,2026-08-21T07:51:49.986748+00:00,NOT_A_GIT_REPOSITORY,99bb69f2840485fe,13439734614446648538,architecture_10seed_accuracy,,EdgeGRU,MAE=0.31246
EdgeGRU_10seed_271828,271828,2026-08-21T07:52:05.459921+00:00,NOT_A_GIT_REPOSITORY,99bb69f2840485fe,12885271954693155649,architecture_10seed_accuracy,,EdgeGRU,MAE=0.38233
EdgeGRU_10seed_16180,16180,2026-08-21T07:52:20.731707+00:00,NOT_A_GIT_REPOSITORY,99bb69f2840485fe,14512816887549221869,architecture_10seed_accuracy,,EdgeGRU,MAE=0.31389
EdgeTCN_10seed_42,42,2026-08-21T07:52:42.890924+00:00,NOT_A_GIT_REPOSITORY,99bb69f2840485fe,8357998861674456070,architecture_10seed_accuracy,,EdgeTCN,MAE=0.59955
EdgeTCN_10seed_123,123,2026-08-21T07:52:57.050241+00:00,NOT_A_GIT_REPOSITORY,99bb69f2840485fe,14549450616460642992,architecture_10seed_accuracy,,EdgeTCN,MAE=0.57281
EdgeTCN_10seed_7,7,2026-08-21T07:53:11.348420+00:00,NOT_A_GIT_REPOSITORY,99bb69f2840485fe,10911146448449587803,architecture_10seed_accuracy,,EdgeTCN,MAE=0.57729
EdgeTCN_10seed_2024,2024,2026-08-21T07:53:25.758116+00:00,NOT_A_GIT_REPOSITORY,99bb69f2840485fe,11289246413857796359,architecture_10seed_accuracy,,EdgeTCN,MAE=0.25134
EdgeTCN_10seed_31415,31415,2026-08-21T07:53:40.327716+00:00,NOT_A_GIT_REPOSITORY,99bb69f2840485fe,15621740710086275787,architecture_10seed_accuracy,,EdgeTCN,MAE=0.56700
EdgeTCN_10seed_99,99,2026-08-21T07:53:54.929272+00:00,NOT_A_GIT_REPOSITORY,99bb69f2840485fe,10508862038386577026,architecture_10seed_accuracy,,EdgeTCN,MAE=0.59409
EdgeTCN_10seed_555,555,2026-08-21T07:54:08.992877+00:00,NOT_A_GIT_REPOSITORY,99bb69f2840485fe,4524361615014795743,architecture_10seed_accuracy,,EdgeTCN,MAE=0.60565
EdgeTCN_10seed_8080,8080,2026-08-21T07:54:23.933629+00:00,NOT_A_GIT_REPOSITORY,99bb69f2840485fe,13439734614446648538,architecture_10seed_accuracy,,EdgeTCN,MAE=0.57776
EdgeTCN_10seed_271828,271828,2026-08-21T07:54:38.735577+00:00,NOT_A_GIT_REPOSITORY,99bb69f2840485fe,12885271954693155649,architecture_10seed_accuracy,,EdgeTCN,MAE=0.56826
EdgeTCN_10seed_16180,16180,2026-08-21T07:54:52.877589+00:00,NOT_A_GIT_REPOSITORY,99bb69f2840485fe,14512816887549221869,architecture_10seed_accuracy,,EdgeTCN,MAE=0.56089
