Halt_Rate_pct,Break_Even_E_QPU_per_gate_J
10.0,5.319148936170293e-05
20.0,2.6041666666666624e-05
30.0,1.93798449612405e-05
40.0,1.4044943820225086e-05
50.0,1.1210762331838608e-05
60.0,8.83392226148434e-06
68.0,7.78816199376909e-06
70.0,7.552870090634512e-06
80.0,6.527415143603324e-06
85.0,6.009615384615751e-06
90.0,5.65610859728471e-06
