Controller,N,Mean,Std,Median,CI95_low,CI95_high,Min,Max
Blind,10,42.65,5.876,43.09,38.446,46.854,31.03,49.62
Reactive,10,43.061,5.773,43.66,38.931,47.191,31.62,50.19
Predictive,10,43.019,5.89,43.435,38.805,47.233,31.19,50.87
DualHead,10,50.472,5.558,50.27,46.496,54.448,42.13,61.33
Oracle,10,100.0,0.0,100.0,100.0,100.0,100.0,100.0
