Halt_Rate_pct,Break_Even_E_QPU_per_gate_J,Source_File,P_inference_W,E_QPU_per_gate_J,ratio_delta_EQPU_avoided_over_Einference,predictive_justified
50.0,,energy_sensitivity_grid.csv,0.05,1e-05,1.784,True
50.0,,energy_sensitivity_grid.csv,0.05,0.0001,17.84,True
50.0,,energy_sensitivity_grid.csv,0.1,1e-08,0.0009,False
50.0,,energy_sensitivity_grid.csv,0.1,1e-07,0.0089,False
50.0,,energy_sensitivity_grid.csv,0.1,1e-06,0.0892,False
50.0,,energy_sensitivity_grid.csv,0.1,1e-05,0.892,False
50.0,,energy_sensitivity_grid.csv,0.1,0.0001,8.92,True
50.0,,energy_sensitivity_grid.csv,0.5,1e-08,0.0002,False
50.0,,energy_sensitivity_grid.csv,0.5,1e-07,0.0018,False
50.0,,energy_sensitivity_grid.csv,0.5,1e-06,0.0178,False
50.0,,energy_sensitivity_grid.csv,0.5,1e-05,0.1784,False
50.0,,energy_sensitivity_grid.csv,0.5,0.0001,1.784,True
50.0,,energy_sensitivity_grid.csv,1.0,1e-08,0.0001,False
50.0,,energy_sensitivity_grid.csv,1.0,1e-07,0.0009,False
50.0,,energy_sensitivity_grid.csv,1.0,1e-06,0.0089,False
50.0,,energy_sensitivity_grid.csv,1.0,1e-05,0.0892,False
50.0,,energy_sensitivity_grid.csv,1.0,0.0001,0.892,False
68.0,,energy_sensitivity_grid.csv,0.01,1e-08,0.0128,False
68.0,,energy_sensitivity_grid.csv,0.01,1e-07,0.1284,False
68.0,,energy_sensitivity_grid.csv,0.01,1e-06,1.284,True
68.0,,energy_sensitivity_grid.csv,0.01,1e-05,12.84,True
68.0,,energy_sensitivity_grid.csv,0.01,0.0001,128.4,True
68.0,,energy_sensitivity_grid.csv,0.05,1e-08,0.0026,False
68.0,,energy_sensitivity_grid.csv,0.05,1e-07,0.0257,False
68.0,,energy_sensitivity_grid.csv,0.05,1e-06,0.2568,False
68.0,,energy_sensitivity_grid.csv,0.05,1e-05,2.568,True
68.0,,energy_sensitivity_grid.csv,0.05,0.0001,25.68,True
68.0,,energy_sensitivity_grid.csv,0.1,1e-08,0.0013,False
68.0,,energy_sensitivity_grid.csv,0.1,1e-07,0.0128,False
68.0,,energy_sensitivity_grid.csv,0.1,1e-06,0.1284,False
68.0,,energy_sensitivity_grid.csv,0.1,1e-05,1.284,True
68.0,,energy_sensitivity_grid.csv,0.1,0.0001,12.84,True
68.0,,energy_sensitivity_grid.csv,0.5,1e-08,0.0003,False
68.0,,energy_sensitivity_grid.csv,0.5,1e-07,0.0026,False
68.0,,energy_sensitivity_grid.csv,0.5,1e-06,0.0257,False
68.0,,energy_sensitivity_grid.csv,0.5,1e-05,0.2568,False
68.0,,energy_sensitivity_grid.csv,0.5,0.0001,2.568,True
68.0,,energy_sensitivity_grid.csv,1.0,1e-08,0.0001,False
68.0,,energy_sensitivity_grid.csv,1.0,1e-07,0.0013,False
68.0,,energy_sensitivity_grid.csv,1.0,1e-06,0.0128,False
68.0,,energy_sensitivity_grid.csv,1.0,1e-05,0.1284,False
68.0,,energy_sensitivity_grid.csv,1.0,0.0001,1.284,True
85.0,,energy_sensitivity_grid.csv,0.01,1e-08,0.0166,False
85.0,,energy_sensitivity_grid.csv,0.01,1e-07,0.1664,False
85.0,,energy_sensitivity_grid.csv,0.01,1e-06,1.664,True
85.0,,energy_sensitivity_grid.csv,0.01,1e-05,16.64,True
85.0,,energy_sensitivity_grid.csv,0.01,0.0001,166.4,True
85.0,,energy_sensitivity_grid.csv,0.05,1e-08,0.0033,False
85.0,,energy_sensitivity_grid.csv,0.05,1e-07,0.0333,False
85.0,,energy_sensitivity_grid.csv,0.05,1e-06,0.3328,False
85.0,,energy_sensitivity_grid.csv,0.05,1e-05,3.328,True
85.0,,energy_sensitivity_grid.csv,0.05,0.0001,33.28,True
85.0,,energy_sensitivity_grid.csv,0.1,1e-08,0.0017,False
85.0,,energy_sensitivity_grid.csv,0.1,1e-07,0.0166,False
85.0,,energy_sensitivity_grid.csv,0.1,1e-06,0.1664,False
85.0,,energy_sensitivity_grid.csv,0.1,1e-05,1.664,True
85.0,,energy_sensitivity_grid.csv,0.1,0.0001,16.64,True
85.0,,energy_sensitivity_grid.csv,0.5,1e-08,0.0003,False
85.0,,energy_sensitivity_grid.csv,0.5,1e-07,0.0033,False
85.0,,energy_sensitivity_grid.csv,0.5,1e-06,0.0333,False
85.0,,energy_sensitivity_grid.csv,0.5,1e-05,0.3328,False
85.0,,energy_sensitivity_grid.csv,0.5,0.0001,3.328,True
85.0,,energy_sensitivity_grid.csv,1.0,1e-08,0.0002,False
85.0,,energy_sensitivity_grid.csv,1.0,1e-07,0.0017,False
85.0,,energy_sensitivity_grid.csv,1.0,1e-06,0.0166,False
85.0,,energy_sensitivity_grid.csv,1.0,1e-05,0.1664,False
85.0,,energy_sensitivity_grid.csv,1.0,0.0001,1.664,True
